problem_id,level
83,3
84,3
85,3
86,3
249,3
250,3
251,3
252,2
807,3
808,3
809,3
810,3
847,3
848,3
849,3
1076,3
1077,3
1078,3
1079,1
1080,2
1081,3
1082,3
1083,3
1084,3
1085,3
1251,3
1252,3
1253,3
1254,2
2214,3
2215,3
2216,3
2217,2
2218,3
4013,3
4014,3
4015,3
8462,2
8463,1
12470,3
12813,3
12814,3
12815,3
12865,3
12869,3
12949,3
12950,3
12951,2
12978,3
12979,3
12980,3
12981,3
12982,3
12983,3
12984,3
13080,3
13081,3
13082,2
13083,2
13130,3
13143,3
13144,1
13152,2
13153,2
13154,2
13155,3
13249,2
13250,3
13295,3
13296,3
13297,2
13305,3
13306,3
13307,2
13409,2
13410,3
13432,3
13433,3
13437,3
13447,3
13457,3
13513,3
13514,3
13515,3
13516,2
14443,3
14444,3
14445,2
14449,3
14450,3
14452,3
14453,2
14454,3
14458,3
14459,2
14468,3
14469,3
14470,3
14494,3
14495,3
14560,3
14561,3
14563,3
14602,3
14603,3
14604,3
14605,3
14749,3
14751,3
14752,3
14753,1
14754,3
14755,2
14756,2
15142,3
15143,3
15150,3
15152,3
22062,3
22065,3
22066,2
22756,3
22757,3
22758,3
31460,2
31461,3
31462,2
31463,3
32558,3
35857,3
35858,3
35859,3
35860,3
36856,3
36893,3
36894,3
40686,3
42492,2
42493,3
42494,3
42495,3
42496,1
43199,2
44718,2
46794,2
46795,3
46796,2
46797,2
46798,3
46799,1
46800,2
46801,3
46802,3
46803,2
46804,3
46805,2
46806,2
46807,3
46808,3
46809,2
46810,3
46811,3
46812,2
46813,3
46814,2
46815,2
46816,3
46817,2
46818,2
46819,3
46820,3
46821,2
46822,3
46823,3
46824,2
46825,3
46826,2
46827,2
46828,3
46829,2
46830,2
46831,3
46832,3
46833,2
46834,3
46835,2
46836,2
46837,3
46838,2
46839,2
46840,3
46841,3
46842,2
46843,3
46844,3
46845,2
46846,3
46847,2
46848,2
46849,3
46850,3
46851,2
46852,3
46853,3
46854,2
46855,3
46856,2
46857,2
46858,3
46859,3
46860,2
46861,3
46862,3
46863,2
46864,3
46865,2
46866,2
46867,2
46868,3
46869,2
46870,3
46871,2
46872,2
46873,3
46874,3
46875,2
46876,3
46877,2
46878,2
46879,3
46880,2
46881,2
46882,3
46883,3
46884,1
46885,3
46886,3
46887,2
46888,3
46889,1
46890,2
46891,3
46892,2
46893,2
46894,2
46895,3
46896,3
46897,2
46898,3
46899,2
46900,3
46901,3
46902,2
46903,3
46904,3
46905,2
46906,3
46907,1
46908,3
46909,2
46910,2
46911,2
46912,2
46913,1
46914,2
46915,3
46916,2
46917,2
46918,3
46919,2
46920,2
46921,3
46922,2
46923,2
46924,3
46925,2
46926,3
46927,2
46928,3
46929,2
46930,1
46931,1
46932,1
46933,1
46934,3
46935,1
46936,3
46937,1
46938,2
46939,2
46940,3
46941,2
46942,3
46943,3
46944,3
46945,2
46946,2
46947,3
46948,3
46949,3
46950,2
46951,3
46952,3
46953,2
46954,3
46955,2
46956,1
46957,3
46958,1
46959,2
46960,2
46961,3
46962,2
46963,3
46964,2
46965,1
46966,1
46967,1
46968,3
46969,3
46970,3
46971,1
47039,3
47040,2
47041,1
47042,1
47043,3
47044,2
47045,3
47046,3
47047,2
47048,1
47049,3
47050,2
47051,2
47052,1
47053,3
47054,2
47055,1
47056,2
47057,2
47058,2
47059,2
47060,2
47061,2
47062,2
47063,3
47064,2
47065,2
47066,3
47067,2
47068,2
47069,2
47070,3
47071,3
47072,2
47073,3
47074,2
47075,2
47076,3
47077,3
47078,3
47079,3
47080,3
47081,3
47082,3
47083,3
47084,2
47085,3
47086,3
47087,2
47088,3
47089,3
47090,3
47091,3
47092,2
47093,1
47094,1
47095,1
47096,2
47097,2
47098,3
47099,2
47100,3
47101,2
47102,3
47103,3
47104,3
47105,2
47106,3
47107,3
47108,1
47109,3
47110,3
47111,3
47112,3
47113,3
47114,3
47115,1
47116,3
47117,3
47118,3
47119,3
47120,1
